Id,ErpExternalId,Level,NameNl,NameFr,NameEn,SlugNl,SlugFr,SlugEn,ParentId,SortOrder,IsActive,CreatedAt,UpdatedAt,CreatedBy,UpdatedBy
3427,RAPID_additional-repairs_e3fce2,Type,Additional Repairs,Additional Repairs,Additional Repairs,additional-repairs,additional-repairs,additional-repairs,,0,1,2026-08-06 14:24:09,2026-08-06 14:24:09,System,System
3428,RAPID_ampoule-du-feu-claireur-de-pla_40a1dc,Type,Ampoule du feu éclaireur de plaque,Ampoule du feu éclaireur de plaque,Ampoule du feu éclaireur de plaque,ampoule-du-feu-claireur-de-plaque,ampoule-du-feu-claireur-de-plaque,ampoule-du-feu-claireur-de-plaque,,0,1,2026-08-08 22:47:30,2026-08-08 22:47:30,System,System
3429,RAPID_balai-d-essuie-glace-raclette_4394c3,Type,Balai d'essuie-glace / raclette,Balai d'essuie-glace / raclette,Balai d'essuie-glace / raclette,balai-d-essuie-glace-raclette,balai-d-essuie-glace-raclette,balai-d-essuie-glace-raclette,,0,1,2026-08-08 22:47:30,2026-08-08 22:47:30,System,System
3430,RAPID_amortisseur-caoutchouc_7cd889,Type,Amortisseur-caoutchouc,Amortisseur-caoutchouc,Amortisseur-caoutchouc,amortisseur-caoutchouc,amortisseur-caoutchouc,amortisseur-caoutchouc,,0,1,2026-08-08 23:16:34,2026-08-08 23:16:34,System,System
3431,RAPID_amortisseurs_96b65d,Type,Amortisseurs,Amortisseurs,Amortisseurs,amortisseurs,amortisseurs,amortisseurs,,0,1,2026-08-08 23:16:34,2026-08-08 23:16:34,System,System
3432,RAPID_ampoule_0164e3,Type,Ampoule,Ampoule,Ampoule,ampoule,ampoule,ampoule,,0,1,2026-08-08 23:16:34,2026-08-08 23:16:34,System,System
3433,RAPID_ampoule-pour-projecteur-antibr_3ed5b7,Type,Ampoule pour projecteur antibrouillard,Ampoule pour projecteur antibrouillard,Ampoule pour projecteur antibrouillard,ampoule-pour-projecteur-antibrouillard,ampoule-pour-projecteur-antibrouillard,ampoule-pour-projecteur-antibrouillard,,0,1,2026-08-08 23:16:34,2026-08-08 23:16:34,System,System
3434,RAPID_ampoule-pour-projecteur-princi_b99136,Type,Ampoule pour projecteur principal,Ampoule pour projecteur principal,Ampoule pour projecteur principal,ampoule-pour-projecteur-principal,ampoule-pour-projecteur-principal,ampoule-pour-projecteur-principal,,0,1,2026-08-08 23:16:34,2026-08-08 23:16:34,System,System
3435,RAPID_ampoule-projecteur-longue-port_783b3b,Type,Ampoule /projecteur longue portée,Ampoule /projecteur longue portée,Ampoule /projecteur longue portée,ampoule-projecteur-longue-port-e,ampoule-projecteur-longue-port-e,ampoule-projecteur-longue-port-e,,0,1,2026-08-08 23:16:34,2026-08-08 23:16:34,System,System
3436,RAPID_moyeu-de-roue_a3af73,Type,Moyeu de roue,Moyeu de roue,Moyeu de roue,moyeu-de-roue,moyeu-de-roue,moyeu-de-roue,,0,1,2026-08-09 00:11:18,2026-08-09 00:11:18,System,System
3437,RAPID_moyeu-de-roue-fixation_ff6cb5,Type,Moyeu de roue / fixation,Moyeu de roue / fixation,Moyeu de roue / fixation,moyeu-de-roue-fixation,moyeu-de-roue-fixation,moyeu-de-roue-fixation,,0,1,2026-08-09 11:56:54,2026-08-09 11:56:54,System,System
3438,RAPID_moyeu_31ba7f,Type,Moyeu,Moyeu,Moyeu,moyeu,moyeu,moyeu,,0,1,2026-08-09 12:31:26,2026-08-09 12:31:26,System,System
3441,RAPID_air-filter_d53ce4,Type,Air Filter,Air Filter,Air Filter,air-filter,air-filter,air-filter,,0,1,2026-08-10 00:11:35,2026-08-10 00:11:35,System,System
3442,RAPID_bearing-mounting_ff7811,Type,Bearing/Mounting,Bearing/Mounting,Bearing/Mounting,bearing-mounting,bearing-mounting,bearing-mounting,,0,1,2026-08-10 00:11:35,2026-08-10 00:11:35,System,System
3443,RAPID_brake-booster_854689,Type,Brake Booster,Brake Booster,Brake Booster,brake-booster,brake-booster,brake-booster,,0,1,2026-08-10 00:11:35,2026-08-10 00:11:35,System,System
3444,RAPID_shock-absorber_ec5bee,Type,Shock Absorber,Shock Absorber,Shock Absorber,shock-absorber,shock-absorber,shock-absorber,,0,1,2026-08-10 00:11:35,2026-08-10 00:11:35,System,System
3445,RAPID_clutch-release-bearing_e769f8,Type,Clutch Release Bearing,Clutch Release Bearing,Clutch Release Bearing,clutch-release-bearing,clutch-release-bearing,clutch-release-bearing,,0,1,2026-08-10 00:11:35,2026-08-10 00:11:35,System,System
3446,RAPID_brake-caliper_f0ec1f,Type,Brake Caliper,Brake Caliper,Brake Caliper,brake-caliper,brake-caliper,brake-caliper,,0,1,2026-08-10 00:11:35,2026-08-10 00:11:35,System,System
3447,RAPID_dispositif-de-freinage_68fb32,Type,Dispositif de freinage,Dispositif de freinage,Dispositif de freinage,dispositif-de-freinage,dispositif-de-freinage,dispositif-de-freinage,,0,1,2026-08-10 16:44:01,,,
3448,RAPID_filtre_c8c8af,Type,Filtre,Filtre,Filtre,filtre,filtre,filtre,,0,1,2026-08-10 16:44:01,,,
3449,RAPID_carter-d-huile-et-pi-ces-de-mo_e3af3e,Type,Carter d'huile et pièces de montage,Carter d'huile et pièces de montage,Carter d'huile et pièces de montage,carter-d-huile-et-pi-ces-de-montage,carter-d-huile-et-pi-ces-de-montage,carter-d-huile-et-pi-ces-de-montage,,0,1,2026-08-10 16:44:01,,,
3450,RAPID_pompe-eau_9279c5,Type,Pompe à eau,Pompe à eau,Pompe à eau,pompe-eau,pompe-eau,pompe-eau,,0,1,2026-08-10 16:44:01,,,
3451,RAPID_accessoires_53e5c6,Type,Accessoires,Accessoires,Accessoires,accessoires,accessoires,accessoires,,0,1,2026-08-10 16:44:01,,,
3452,RAPID_avertisseur-sonore-trompette_558079,Type,Avertisseur sonore / trompette,Avertisseur sonore / trompette,Avertisseur sonore / trompette,avertisseur-sonore-trompette,avertisseur-sonore-trompette,avertisseur-sonore-trompette,,0,1,2026-08-10 16:44:01,,,
3453,RAPID_carter-d-huile_15b5cf,Type,Carter d'huile,Carter d'huile,Carter d'huile,carter-d-huile,carter-d-huile,carter-d-huile,,0,1,2026-08-10 16:44:01,,,
3454,RAPID_commande-d-embrayage_8d6296,Type,Commande d'embrayage,Commande d'embrayage,Commande d'embrayage,commande-d-embrayage,commande-d-embrayage,commande-d-embrayage,,0,1,2026-08-10 16:44:01,,,
3455,RAPID_joint-thermostat_7ff338,Type,Joint/Thermostat,Joint/Thermostat,Joint/Thermostat,joint-thermostat,joint-thermostat,joint-thermostat,,0,1,2026-08-10 16:44:01,,,
3456,RAPID_cha-ne-de-distribution_f8c596,Type,Chaîne de distribution,Chaîne de distribution,Chaîne de distribution,cha-ne-de-distribution,cha-ne-de-distribution,cha-ne-de-distribution,,0,1,2026-08-10 16:44:01,,,
3457,RAPID_alimentation-en-air_27b721,Type,Alimentation en air,Alimentation en air,Alimentation en air,alimentation-en-air,alimentation-en-air,alimentation-en-air,,0,1,2026-08-10 16:44:01,,,
3458,RAPID_pompe-eau-joint_bacaea,Type,Pompe à eau / joint,Pompe à eau / joint,Pompe à eau / joint,pompe-eau-joint,pompe-eau-joint,pompe-eau-joint,,0,1,2026-08-10 16:44:01,,,
3459,RAPID_alternateur-composants_917c63,Type,Alternateur / composants,Alternateur / composants,Alternateur / composants,alternateur-composants,alternateur-composants,alternateur-composants,,0,1,2026-08-10 16:44:01,,,
3460,RAPID_commande-courroie_03ff84,Type,Commande à courroie,Commande à courroie,Commande à courroie,commande-courroie,commande-courroie,commande-courroie,,0,1,2026-08-10 16:44:01,,,
3461,RAPID_radiateur-d-eau-composants_96e9ef,Type,Radiateur d'eau/composants,Radiateur d'eau/composants,Radiateur d'eau/composants,radiateur-d-eau-composants,radiateur-d-eau-composants,radiateur-d-eau-composants,,0,1,2026-08-10 16:44:01,,,
3462,RAPID_cache-soupape_d5dc7f,Type,Cache-soupape,Cache-soupape,Cache-soupape,cache-soupape,cache-soupape,cache-soupape,,0,1,2026-08-10 16:44:01,,,
3463,RAPID_bo-tier-filtre-carburant_c71be5,Type,Boîtier/filtre à carburant,Boîtier/filtre à carburant,Boîtier/filtre à carburant,bo-tier-filtre-carburant,bo-tier-filtre-carburant,bo-tier-filtre-carburant,,0,1,2026-08-10 16:44:01,,,
