;;;;;;;;;;no edit;edit pro;;edit pro;;no edit;no edit;edit prv;;;;;;;;;;edit prv;;no edit;;edit prv;;edit prv;no edit;;edit prv;;edit prv;no edit;;edit prv;;edit prv;edit prv;;edit prv;;;no edit;;edit prv;;edit prv;edit prv;;edit prv;edit prv;edit prv;edit prv;edit prv;;;;edit prv;;edit prv;;edit pro;;edit prv;;edit prv;;edit pro;;edit prv;;edit prv;;edit pro;;;;;;;;;;edit prv;;edit prv;;;edit prv;;edit prv;;;;;;;;;;edit prv;;edit prv;;;;;;;;;;;;;;;;;;;;;;;;;;edit prv;;edit pro;;;;edit prv;;;;edit pro;;;;;;edit pro;;edit prv;edit prv;edit prv
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;10;Enduit monocouche à projeter;Eenlagig spuitpleister;20;22265;Goldband XT;Goldband XT;Plâtre manuel et à projeter pour murs et plafonds;Hand- en spuitgips voor wanden en plafonds;00140532;5413503595723;;;;;;;;;;;7;TO;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;1000;KG;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ATG n°1617;ATG n°1617;;;;;;;0;1;0
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;10;Enduit monocouche à projeter;Eenlagig spuitpleister;30;22265;Goldband XT;Goldband XT;Plâtre manuel et à projeter pour murs et plafonds;Hand- en spuitgips voor wanden en plafonds;00129425;5413503543373;;;;;;;;;;;24;TO;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;1000;KG;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ATG n°1617;ATG n°1617;;;;;;;0;1;0
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;10;Enduit monocouche à projeter;Eenlagig spuitpleister;10;12924;MP 75 SL (Neuss);MP 75 SL (Neuss);Plâtre à projeter pour murs et plafonds;Spuitgips voor wanden en plafonds;00005378;4003982087362;48;pce/pal;;;;;;;;;1;pal;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;25;KG;25;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;20;Enduit bi-couche à projeter;Tweelagig spuitpleister;10;22271;DUO Light;DUO Light;Plâtre allégé utilisé comme couche de base d'un système d'enduit en deux couches;Lichtgewicht basis gipspleister voor een tweelagig pleistersysteem;00414867;5413503571864;45;pce/pal;;;;;;;;;1;pal;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;25;KG;25;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;20;Enduit bi-couche à projeter;Tweelagig spuitpleister;20;22271;DUO Light;DUO Light;Plâtre allégé utilisé comme couche de base d'un système d'enduit en deux couches;Lichtgewicht basis gipspleister voor een tweelagig pleistersysteem;00414893;5413503546350;;;;;;;;;;;7;TO;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;1000;KG;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;20;Enduit bi-couche à projeter;Tweelagig spuitpleister;30;22271;DUO Light;DUO Light;Plâtre allégé utilisé comme couche de base d'un système d'enduit en deux couches;Lichtgewicht basis gipspleister voor een tweelagig pleistersysteem;00414897;4003982288752;;;;;;;;;;;24;TO;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;1000;KG;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;30;Enduit monocouche manuel;Eenlagig handpleister;10;30124;GOLDBAND E;GOLDBAND E;Plâtre manuel pour murs et plafonds;Handmatig gipspleister voor wanden en plafonds;00856986;5413503620074;40;pce/pal;;;;;;;;;1;pal;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;10;KG;10;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ATG n°1617;ATG n°1617;;;;;;;1;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;30;Enduit monocouche manuel;Eenlagig handpleister;20;30124;GOLDBAND E;GOLDBAND E;Plâtre manuel pour murs et plafonds;Handmatig gipspleister voor wanden en plafonds;00856987;5413503620081;80;pce/pal;;;;;;;;;1;pal;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;10;KG;10;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ATG n°1617;ATG n°1617;;;;;;;1;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;30;Enduit monocouche manuel;Eenlagig handpleister;30;30124;GOLDBAND E;GOLDBAND E;Plâtre manuel pour murs et plafonds;Handmatig gipspleister voor wanden en plafonds;00856789;5413503620043;45;pce/pal;;;;;;;;;1;pal;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;25;KG;25;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ATG n°1617;ATG n°1617;;;;;;;1;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;30;Enduit monocouche manuel;Eenlagig handpleister;10;22266;Goldband Quick;Goldband Quick;Plâtre manuel à temps de prise réduit pour murs et plafonds ;Handmatig gipspleister met verkorte uithardingstijd voor wanden en plafonds ;00427547;5413503573752;45;pce/pal;;;;;;;;;1;pal;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;25;KG;25;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;30;Enduit monocouche manuel;Eenlagig handpleister;10;22267;Goldband RENO 40;Goldband RENO 40;Plâtre de rénovation manuel pour murs et plafonds;Handmatig renovatiepleister voor wanden en plafonds;00452714;5413503577057;40;pce/pal;;;;;;;;;5;pce;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;10;KG;10;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;30;Enduit monocouche manuel;Eenlagig handpleister;20;22267;Goldband RENO 40;Goldband RENO 40;Plâtre de rénovation manuel pour murs et plafonds;Handmatig renovatiepleister voor wanden en plafonds;00415879;5413503571673;45;pce/pal;;;;;;;;;5;pce;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;25;KG;25;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;40;Enduit de plâtre haute dureté;Gipspleister met hogere druksterkte;10;30125;MP 75 DIAMOND;MP 75 DIAMOND;Plâtre à projeter à dureté accrue pour murs et plafonds;Spuitgips met verhoogde hardheid voor wanden en plafonds;00856689;5413503620036;45;pce/pal;;;;;;;;;1;pal;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;25;KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ATG n°1617 / IBR n°3021-1232 / C2C Bronze n° 5506  / Environmental Product Declaration (EPD);ATG n°1617 / IBR n°3021-1232 / C2C Bronze n° 5506  / Environmental Product Declaration (EPD);;;;;;;0;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;40;Enduit de plâtre haute dureté;Gipspleister met hogere druksterkte;20;30125;MP 75 DIAMOND;MP 75 DIAMOND;Plâtre à projeter à dureté accrue pour murs et plafonds;Spuitgips met verhoogde hardheid voor wanden en plafonds;00856989;5413503620104;;;;;;;;;;;24;TO;0;m;;;;0;m;;;;0;m;;;;;;;;;1000;KG;;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ATG n°1617 / IBR n°3021-1232 / C2C Bronze n° 5506  / Environmental Product Declaration (EPD);ATG n°1617 / IBR n°3021-1232 / C2C Bronze n° 5506  / Environmental Product Declaration (EPD);;;;;;;0;1;0
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;50;Enduit de plâtre résistant au feu;Brandwerende gipspleister;10;28656;MP 75 Fire;MP 75 Fire;Plâtre pour la protection passive contre le feu à l’intérieur;Gipspleister voor passieve brandbeveiliging in binnenbereik;00818460;4003982564511;25;pce/pal;;;;;;;;;1;pal;540;mm;;;;340;mm;;;;130;mm;;;;;;;;;20;KG;20;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Commande uniquement par PAL entière. Délai de livraison à confirmer.;Bestelling enkel per volle pallet. Levertijd te bevestigen.;;;;;;;0;1;0
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;60;Enduit de plâtre hydrofuge;Waterafstotend gipspleister;10;22268;AquaStuc;AquaStuc;Plâtre hydrofuge pour murs et plafonds;Waterafstotend gipspleister voor wanden en plafonds;00536928;5413503589074;40;pce/pal;;;;;;;;;1;pal;0;mm;;;;0;mm;;;;0;mm;;;;;;;;;25;KG;25;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1
10;Enduits de plâtre;Gipspleisters;10;Plâtres de construction;Bouwgipsen;70;Enduit de plâtre adhésif;Hechtpleister;10;10001;Rotband;Rotband;Plâtre adhésif pour murs et plafonds;Gipsgebonden hechtpleister voor wanden en plafonds;00005634;5413503015047;45;pce/pal;;;;;;;;;1;pal;0;mm;;;-;0;mm;;;-;0;mm;;;;;;;;;25;KG;25;kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ATG n°1617;ATG n°1617;;;;;;;1;0;1
