Id,ErpExternalId,Level,NameNl,NameFr,NameEn,SlugNl,SlugFr,SlugEn,ParentId,SortOrder,IsActive,CreatedAt,UpdatedAt,CreatedBy,UpdatedBy
37,RAPID_additional-repairs_e3fce2,Type,Additional Repairs,Additional Repairs,Additional Repairs,additional-repairs,additional-repairs,additional-repairs,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
38,RAPID_ampoule-du-feu-claireur-de-pla_40a1dc,Type,Ampoule du feu éclaireur de plaque,Ampoule du feu éclaireur de plaque,Ampoule du feu éclaireur de plaque,ampoule-du-feu-claireur-de-plaque,ampoule-du-feu-claireur-de-plaque,ampoule-du-feu-claireur-de-plaque,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
39,RAPID_balai-d-essuie-glace-raclette_4394c3,Type,Balai d'essuie-glace / raclette,Balai d'essuie-glace / raclette,Balai d'essuie-glace / raclette,balai-d-essuie-glace-raclette,balai-d-essuie-glace-raclette,balai-d-essuie-glace-raclette,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
40,RAPID_amortisseur-caoutchouc_7cd889,Type,Amortisseur-caoutchouc,Amortisseur-caoutchouc,Amortisseur-caoutchouc,amortisseur-caoutchouc,amortisseur-caoutchouc,amortisseur-caoutchouc,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
41,RAPID_amortisseurs_96b65d,Type,Amortisseurs,Amortisseurs,Amortisseurs,amortisseurs,amortisseurs,amortisseurs,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
42,RAPID_ampoule_0164e3,Type,Ampoule,Ampoule,Ampoule,ampoule,ampoule,ampoule,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
43,RAPID_ampoule-pour-projecteur-antibr_3ed5b7,Type,Ampoule pour projecteur antibrouillard,Ampoule pour projecteur antibrouillard,Ampoule pour projecteur antibrouillard,ampoule-pour-projecteur-antibrouillard,ampoule-pour-projecteur-antibrouillard,ampoule-pour-projecteur-antibrouillard,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
44,RAPID_ampoule-pour-projecteur-princi_b99136,Type,Ampoule pour projecteur principal,Ampoule pour projecteur principal,Ampoule pour projecteur principal,ampoule-pour-projecteur-principal,ampoule-pour-projecteur-principal,ampoule-pour-projecteur-principal,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
45,RAPID_ampoule-projecteur-longue-port_783b3b,Type,Ampoule /projecteur longue portée,Ampoule /projecteur longue portée,Ampoule /projecteur longue portée,ampoule-projecteur-longue-port-e,ampoule-projecteur-longue-port-e,ampoule-projecteur-longue-port-e,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
46,RAPID_moyeu-de-roue_a3af73,Type,Moyeu de roue,Moyeu de roue,Moyeu de roue,moyeu-de-roue,moyeu-de-roue,moyeu-de-roue,,0,1,2026-08-09 23:07:29,2026-08-09 23:07:29,System,System
